Project Section,Labor / Materials,item,Status,Budget Number,Cost to Date,Progress,Start,End
Recirculating System,Materials,"Structural steel platform to support the recirculating fan and motor, fan to collector pipe, circulating collector to muffle inlet pipe, muffle inlet, muffle cylinder, burner and gas train",,"7,000.00",,0.00%,,
Recirculating System,Materials,Hardware,,,,0.00%,,
Recirculating System,Materials,Gasketing,,,,0.00%,,
Quench System,Total,,,497.00,497.00,25.00%,,
Quench System,Labor,Engineering,,302.00,302.00,0.00%,,
Quench System,Labor,Disassembly,,65.00,65.00,100.00%,,
Quench System,Labor,Cleaning,,130.00,130.00,100.00%,,
Quench System,Labor,Painting,,,,50.00%,4/24/2023,4/28/2023
Quench System,Labor,Reassembly,,,,25.00%,5/8/2023,5/12/2023
Quench System,Materials,water Meter ,OK (needs Testing) No PLC or Display,,,0.00%,,
Quench System,Materials,Regulator,OK,,,0.00%,,
Quench System,Materials,Low Pressure Switch,OK,,,0.00%,,
Quench System,Materials,Strainer,,,,0.00%,,
Quench System,Materials,Solenoid (water valve) ,,,,0.00%,,
Quench System,Materials,needle valve,,,,0.00%,,
Quench System,Materials,spray assembly,OK,,,0.00%,,
Quench System,Materials,manual shut off and bypass valves,,,,0.00%,,
Quench System,Materials,Hardware,,,,0.00%,,
Quench System,Materials,Gasketing,,,,0.00%,,
Burner Assembly,Total,,,"3,796.33",952.00,15.00%,,
Burner Assembly,Labor,Engineering,,302.00,302.00,0.00%,,
Burner Assembly,Labor,Disassembly,,130.00,130.00,100.00%,,
Burner Assembly,Labor,Cleaning,,520.00,520.00,100.00%,,
Burner Assembly,Labor,Painting,,,,75.00%,4/24/2023,4/28/2023
Burner Assembly,Labor,Reassembly,,,,25.00%,5/1/2023,5/5/2023
Burner Assembly,Materials,Flame deflector and mounting brackets,refabricated ,"2,844.33",,50.00%,,
Burner Assembly,Materials,Perforated flame tube,refabricated ,,,50.00%,,
Burner Assembly,Materials,Burner mounting plate,cleaned and repainted with high temp paint,,,75.00%,,
Burner Assembly,Materials,Maxon Ovenpak ll Model 415 burner with 1/3 hp combustion blower,check motor,,,50.00%,,
Burner Assembly,Materials,Low pressure switch,clean,,,50.00%,,
Burner Assembly,Materials,Modutrol valve actuator,repair - refurbish,,,50.00%,,
Burner Assembly,Materials,"Regulator, pressure gauge, pilot solenoids(2)",repair - refurbish,,,50.00%,,
Burner Assembly,Materials,"Metering orifice valve, ignition transformer",repair - refurbish,,,50.00%,,
Burner Assembly,Materials,Lubricated plug cock,,,,0.00%,,
Burner Assembly,Materials,Gas pressure regulator - Low gas pressure switch,,,,0.00%,,
Burner Assembly,Materials,Gas pressure regulator - Pressure gauges (2),,,,0.00%,,
Burner Assembly,Materials,Gas pressure regulator - Motor operated shut-off valves(2),,,,0.00%,,
Burner Assembly,Materials,High gas pressure switch,,,,0.00%,,
Burner Assembly,Materials,Metering orifice with magnehelic gauge,,,,0.00%,,
Burner Assembly,Materials,U.V flame scanner - Gas Valve Leak Detector,,,,0.00%,,
Burner Assembly,Materials,Hardware,,,,0.00%,,
Burner Assembly,Materials,Gasketing,,,,0.00%,,
Cooling Stoning System,Total,,,"52,461.50","12,282.50",15%,,
Cooling Stoning System,Labor,Engineering,,"1,207.50","1,207.50",0.00%,,
Cooling Stoning System,Labor,Disassembly,,"2,600.00","2,600.00",100.00%,,
Cooling Stoning System,Labor,Cleaning,,"2,275.00","2,275.00",100.00%,,
Cooling Stoning System,Labor,Sandlbasting ,,"6,000.00","3,100.00",100.00%,,
Cooling Stoning System,Labor,Painting,,"6,000.00","3,100.00",75.00%,4/24/2023,4/28/2023
Cooling Stoning System,Labor,Reassembly,,"13,600.00",,0.00%,5/8/2023,5/12/2023
Cooling Stoning System,Materials,stirflex cooler,,,,50.00%,,
Cooling Stoning System,Materials,cooling car motor,replace - price listed is for Baldor (alternate option pricing @ 361.00),729.00,,0.00%,,
Cooling Stoning System,Materials,gear reduction unit ,clean replace fluid,,,0.00%,,
Cooling Stoning System,Materials,cooling air gate,clean and paint /  electric and pneumatic,,,75.00%,,
Cooling Stoning System,Materials,stoner boot,clean and paint ,,,75.00%,,
Cooling Stoning System,Materials,cooler bottom,redesign,,,0.00%,,
Cooling Stoning System,Materials,pneumatic discharge door,Replace?,,,0.00%,,
Cooling Stoning System,Materials,stoner hopper,,,,0.00%,,
Cooling Stoning System,Materials,stoner hopper discharge,change location from cooler bottom to top,,,0.00%,,
Cooling Stoning System,Materials,riser pipe,replace (Jacobs),,,0.00%,,
Cooling Stoning System,Materials, stoner cloth (Food Grade),replace,,,0.00%,,
Cooling Stoning System,Materials,stoner air gate,cleaned and painted,,,100.00%,,
Cooling Stoning System,Materials,13A Fan,balance fan wheel,"1,000.00",,0.00%,,
Cooling Stoning System,Materials,13A Fan motor,replace motor  - price listed is for Baldor (alternate option pricing @ 1449.00,"2,050.00",,0.00%,,
Cooling Stoning System,Materials,pulley sizing,review,,,0.00%,,
Cooling Stoning System,Materials,collector,,,,0.00%,,
Cooling Stoning System,Materials,3 ft keenan collector,need to fabricate or purchase,,,0.00%,,
Cooling Stoning System,Materials,legs for structural support(2x2x1/4),,,,0.00%,,
Cooling Stoning System,Materials,fan to collector pipe (Jacobs),,,,0.00%,,
Cooling Stoning System,Materials,discharge pipe to chaff can and cover,,,,0.00%,,
Cooling Stoning System,Materials,outlet pipe,thimble cap and shield,"8,500.00",,0.00%,,
Cooling Stoning System,Materials,structural steel support and frame for cooler/stoner fan and collector and stoner hopper,needs to be fabricated,"8,500.00",,0.00%,,
Installation (Afterburner),Total,,,"13,600.00","1,207.50",5%,,
Installation (Afterburner),Labor,Afterburner,"Layout exact location, Detail roof penetration, Spec out and procure outlet pipe, Install : support frame
Afterburner body
Outlet pipe","13,600.00",,0.00%,5/17/2023,5/22/2023
Installation (Afterburner),Labor,Engineering,afterburner layout,,"1,207.50",50.00%,,
Installation,Total,,,"64,060.00","1,207.50",0.00%,,
Installation,Labor,Engineering,roaster layout ,"1,500.00","1,207.50",50.00%,,
Installation,Labor,Mobilization,"trucking, laser layout","8,160.00",,0.00%,5/15/2023,5/18/2023
Installation,Labor,Mechanical Install,roaster + recirculating system,"13,600.00",,0.00%,5/22/2023,5/26/2023
Installation,Labor,Mechanical Install,"mechanical Punchlist, electrical instruments","13,600.00",,0.00%,5/30/2023,6/2/2023
Installation,Labor,Utilities,"Electric, Air, Gas, roof penetration, outlet stack","13,600.00",,0.00%,6/5/2023,6/9/2023
Installation,Labor,Start up and Commissioning,"start up and debug, commissioning & training","13,600.00",,0.00%,6/12/2023,6/16/2023
Installation,Materials,13A fan,,,,0.00%,,
Installation,Materials,3 ft collector,,,,0.00%,,
Installation,Materials,Roof curb (thimble),by others,,,0.00%,,
Installation,Materials,Rain shield,by others,,,0.00%,,
